tumbol_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,sum_rain_y
100405.0,0.0,3.52,18.21,20.67,61.17,4.54,13.54,21.36,41.67,4.51,167.7,25.9,174.94,90.94,25.4,46.83,28.21,37.3,86.31,65.99,66.46,133.21,35.92,56.94,94.2,97.29,263.02,329.46,36.55,90.96,7.15,81.04,143.62,39.23,1.23,0.0,2414.9900000000002
100502.0,0.0,2.92,14.15,17.93,57.37,0.56,12.33,11.64,27.5,1.36,149.54,34.28,83.87,103.25,81.19,96.62,54.15,78.34,69.01,83.2,143.77,169.24,61.71,96.94,138.72,136.27,246.63,188.11,27.95,47.04,6.2,67.18,101.07,10.78,1.97,0.0,2422.79
100508.0,0.0,2.92,14.15,17.93,57.37,0.56,12.33,11.64,27.5,1.36,149.54,34.28,83.87,103.25,81.19,96.62,54.15,78.34,69.01,83.2,143.77,169.24,61.71,96.94,138.72,136.27,246.63,188.11,27.95,47.04,6.2,67.18,101.07,10.78,1.97,0.0,2422.79
100601.0,0.0,3.22,16.18,19.3,59.27,2.55,12.94,16.5,34.58,2.94,158.62,30.09,129.41,97.09,53.3,71.72,41.18,57.82,77.66,74.6,105.12,151.22,48.82,76.94,116.46,116.78,254.83,258.79,32.25,69.0,6.67,74.11,122.34,25.0,1.6,0.0,2418.9
100608.0,0.0,3.22,16.18,19.3,59.27,2.55,12.94,16.5,34.58,2.94,158.62,30.09,129.41,97.09,53.3,71.72,41.18,57.82,77.66,74.6,105.12,151.22,48.82,76.94,116.46,116.78,254.83,258.79,32.25,69.0,6.67,74.11,122.34,25.0,1.6,0.0,2418.9
100701.0,0.0,3.22,16.18,19.3,59.27,2.55,12.94,16.5,34.58,2.94,158.62,30.09,129.41,97.09,53.3,71.72,41.18,57.82,77.66,74.6,105.12,151.22,48.82,76.94,116.46,116.78,254.83,258.79,32.25,69.0,6.67,74.11,122.34,25.0,1.6,0.0,2418.9
100702.0,0.0,3.22,16.18,19.3,59.27,2.55,12.94,16.5,34.58,2.94,158.62,30.09,129.41,97.09,53.3,71.72,41.18,57.82,77.66,74.6,105.12,151.22,48.82,76.94,116.46,116.78,254.83,258.79,32.25,69.0,6.67,74.11,122.34,25.0,1.6,0.0,2418.9
100703.0,0.0,3.22,16.18,19.3,59.27,2.55,12.94,16.5,34.58,2.94,158.62,30.09,129.41,97.09,53.3,71.72,41.18,57.82,77.66,74.6,105.12,151.22,48.82,76.94,116.46,116.78,254.83,258.79,32.25,69.0,6.67,74.11,122.34,25.0,1.6,0.0,2418.9
100704.0,0.0,3.22,16.18,19.3,59.27,2.55,12.94,16.5,34.58,2.94,158.62,30.09,129.41,97.09,53.3,71.72,41.18,57.82,77.66,74.6,105.12,151.22,48.82,76.94,116.46,116.78,254.83,258.79,32.25,69.0,6.67,74.11,122.34,25.0,1.6,0.0,2418.9
100801.0,0.0,3.22,16.18,19.3,59.27,2.55,12.94,16.5,34.58,2.94,158.62,30.09,129.41,97.09,53.3,71.72,41.18,57.82,77.66,74.6,105.12,151.22,48.82,76.94,116.46,116.78,254.83,258.79,32.25,69.0,6.67,74.11,122.34,25.0,1.6,0.0,2418.9
100802.0,0.0,3.22,16.18,19.3,59.27,2.55,12.94,16.5,34.58,2.94,158.62,30.09,129.41,97.09,53.3,71.72,41.18,57.82,77.66,74.6,105.12,151.22,48.82,76.94,116.46,116.78,254.83,258.79,32.25,69.0,6.67,74.11,122.34,25.0,1.6,0.0,2418.9
100803.0,0.0,3.22,16.18,19.3,59.27,2.55,12.94,16.5,34.58,2.94,158.62,30.09,129.41,97.09,53.3,71.72,41.18,57.82,77.66,74.6,105.12,151.22,48.82,76.94,116.46,116.78,254.83,258.79,32.25,69.0,6.67,74.11,122.34,25.0,1.6,0.0,2418.9
