PROV_CODE,AMP_CODE,TAM_CODE,PROV_NAMT,PROV_NAME,AMP_NAMT,AMP_NAME,TAM_NAMT,TAM_NAME,PA,PAT,amenity,name,name:th,layer
15.0,6.0,5.0,อ่างทอง,ANG THONG,วิเศษชัยชาญ,WISET CHAI CHAN,ท่าช้าง,THA CHANG,1506.0,150605.0,courthouse,บ้านสวนจันทิพย์,,
56.0,1.0,6.0,พะเยา,PHAYAO,เมืองพะเยา,MUEANG PHAYAO,บ้านต๊ำ,BAN TAM,5601.0,560106.0,courthouse,,,
14.0,1.0,3.0,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,หอรัตนไชย,HO RATTANA CHAI,1401.0,140103.0,,,,
56.0,3.0,6.0,พะเยา,PHAYAO,เชียงคำ,CHIANG KHAM,น้ำแวน,NAM WAEN,5603.0,560306.0,courthouse,ศาลจังหวัดเชียงคำ,,
33.0,1.0,1.0,ศรีสะเกษ,SI SA KET,เมืองศรีสะเกษ,MUEANG SI SA KET,เมืองเหนือ,MUEANG NUEA,3301.0,330101.0,,,,
40.0,1.0,1.0,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,ในเมือง,NAI MUEANG,4001.0,400101.0,fire_station,สถานีดับเพลิง,สถานีดับเพลิง,
40.0,1.0,1.0,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,ในเมือง,NAI MUEANG,4001.0,400101.0,fire_station,สถานีดับเพลิงบึงทุ่งสร้าง,สถานีดับเพลิงบึงทุ่งสร้าง,
40.0,1.0,1.0,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,ในเมือง,NAI MUEANG,4001.0,400101.0,fire_station,สถานีดับเพลิง 3,สถานีดับเพลิง 3,
10.0,12.0,3.0,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,ช่องนนทรี,CHONG NONSI,1012.0,101203.0,fire_station,,,
83.0,2.0,2.0,ภูเก็ต,PHUKET,กะทู้,KATHU,ป่าตอง,PA TONG,8302.0,830202.0,fire_station,,,
40.0,1.0,1.0,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,ในเมือง,NAI MUEANG,4001.0,400101.0,fire_station,งานป้องกันและบรรเทาสาธารณภัย,งานป้องกันและบรรเทาสาธารณภัย,
40.0,1.0,1.0,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,ในเมือง,NAI MUEANG,4001.0,400101.0,fire_station,,,
40.0,1.0,15.0,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,บ้านเป็ด,BAN PET,4001.0,400115.0,fire_station,,,
41.0,1.0,1.0,อุดรธานี,UDON THANI,เมืองอุดรธานี,MUEANG UDON THANI,หมากแข้ง,MAK KHAENG,4101.0,410101.0,fire_station,งานป้องกันและบรรเทาสาธารณภัย,งานป้องกันและบรรเทาสาธารณภัย,
50.0,14.0,8.0,เชียงใหม่,CHIANG MAI,สันทราย,SAN SAI,หนองหาร,NONG HAN,5014.0,501408.0,fire_station,,,
10.0,8.0,4.0,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,บ้านบาตร,BAN BAT,1008.0,100804.0,fire_station,,,
10.0,28.0,1.0,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,ทุ่งวัดดอน,THUNG WAT DON,1028.0,102801.0,fire_station,สถานีดับเพลิง ยานนาวา,สถานีดับเพลิง ยานนาวา,
73.0,1.0,1.0,นครปฐม,NAKHON PATHOM,เมืองนครปฐม,MUEANG NAKHON PATHOM,พระปฐมเจดีย์,PHRA PATHOM CHEDI,7301.0,730101.0,fire_station,สถานีดับเพลิงเทศบาลนครปฐม,,
41.0,6.0,2.0,อุดรธานี,UDON THANI,หนองหาน,NONG HAN,หนองเม็ก,NONG MEK,4106.0,410602.0,fire_station,,,
50.0,14.0,12.0,เชียงใหม่,CHIANG MAI,สันทราย,SAN SAI,ป่าไผ่,PA PHAI,5014.0,501412.0,fire_station,,,
50.0,1.0,12.0,เชียงใหม่,CHIANG MAI,เมืองเชียงใหม่,MUEANG CHIANG MAI,ท่าศาลา,THA SALA,5001.0,500112.0,fire_station,,,
53.0,7.0,1.0,อุตรดิตถ์,UTTARADIT,พิชัย,PHICHAI,ในเมือง,NAI MUEANG,5307.0,530701.0,fire_station,สถานีดับเพลิงตำบลในเมือง,,
50.0,15.0,10.0,เชียงใหม่,CHIANG MAI,หางดง,HANG DONG,บ้านปง,BAN PONG,5015.0,501510.0,fire_station,,,
75.0,1.0,1.0,สมุทรสงคราม,SAMUT SONGKHRAM,เมืองสมุทรสงคราม,MUEANG SAMUT SONGKHRAM,แม่กลอง,MAE KLONG,7501.0,750101.0,fire_station,ฝ่ายป้องกันและบรรเทาสาธารณภัย,ฝ่ายป้องกันและบรรเทาสาธารณภัย,
