tumbol_ID,Region,Region_code,region_BKK,region_Central,region_West,region_East,region_North_East,region_North,region_South
140406,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140408,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140409,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140410,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140412,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140413,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140414,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140415,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140416,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140418,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140420,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140422,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140423,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140501,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140502,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140504,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140505,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140510,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140511,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140513,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140514,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140515,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140516,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140601,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140602,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140603,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140607,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140609,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140610,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140612,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140614,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140616,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140617,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140618,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140701,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140705,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140706,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140709,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140710,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140711,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140713,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140714,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140716,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140717,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140801,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140802,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140804,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140805,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140806,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140808,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140809,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140811,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140812,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140813,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140901,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140902,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140903,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140904,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140905,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141001,ภาคกลาง,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
